date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:03	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202019%2022:11:01%20GMT	http://archiv.tdh-murgtal.de/archiv.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/archiv.0.delayed	(from )
00:11:03	341/341	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2022:11:01%20GMT	http://www.tdh-murgtal.de/aktuelles/index.html	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/index.1.delayed	(from )
00:11:03	67/67	U-----	200	untouched ('OK')	text/plain	etag:%2243-531e161193d80%22	http://archiv.tdh-murgtal.de/robots.txt		(from )
00:11:03	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202019%2022:11:02%20GMT	http://archiv.tdh-murgtal.de/aktuelles/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/index.html	(from )
00:11:03	20765/20765	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2022:11:02%20GMT	http://archiv.tdh-murgtal.de/schnellueberblick/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/schnellueberblick/index.html	(from )
00:11:04	60752/60752	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2022:11:02%20GMT	http://archiv.tdh-murgtal.de/aktivitaeten/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/index.html	(from )
00:11:04	20217/20217	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2022:11:02%20GMT	http://archiv.tdh-murgtal.de/unterstuetzung/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/unterstuetzung/index.html	(from )
00:11:04	344/344	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2022:11:03%20GMT	http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
00:11:04	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202019%2022:11:03%20GMT	http://archiv.tdh-murgtal.de/kontakt/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/kontakt/index.html	(from )
00:11:04	19086/19086	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2022:11:03%20GMT	http://archiv.tdh-murgtal.de/team/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/team/index.html	(from )
00:11:05	344/344	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2022:11:03%20GMT	http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.gif	(from http://archiv.tdh-murgtal.de/aktivitaeten/)
00:11:05	20189/20189	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2022:11:04%20GMT	http://archiv.tdh-murgtal.de/presse/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/presse/index.html	(from )
00:11:05	21453/21453	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2022:11:04%20GMT	http://archiv.tdh-murgtal.de/impressum/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/impressum/index.html	(from )
00:11:05	344/344	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2022:11:04%20GMT	http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.gif	(from http://archiv.tdh-murgtal.de/unterstuetzung/)
00:11:06	5899/5899	U--M-Z	200	updated ('OK')	text/css	etag:%22170b-3bc2a2108b8c0-gzip%22	http://archiv.tdh-murgtal.de/_inc/formate.css	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/_inc/formate.css	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
00:11:06	339/339	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2022:11:04%20GMT	http://www.tdh-murgtal.de/aktuelles/2018/10/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2018/10/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/index.html)
00:11:06	344/344	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2022:11:04%20GMT	http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.5.delayed	(from http://archiv.tdh-murgtal.de/team/)
00:11:06	0/-1	---M--	301	error ('')			http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.6.delayed	(from http://archiv.tdh-murgtal.de/presse/)
00:11:06	22678/22678	U-----	200	untouched ('')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	http://www.google-analytics.com/urchin.js	W:/HTTrack/tdh-murgtal.de/www.google-analytics.com/urchin.js	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
00:11:06	2591/2591	U-----	200	untouched ('')	image/jpeg	etag:%22a1f-39a245a52adc0%22	http://archiv.tdh-murgtal.de/images/depping/motiv2.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/depping/motiv2.jpg	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
