date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:09	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202019%2021:36:07%20GMT	http://archiv.tdh-murgtal.de/archiv.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/archiv.0.delayed	(from )
23:36:09	341/341	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:08%20GMT	http://www.tdh-murgtal.de/aktuelles/index.html	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/index.1.delayed	(from )
23:36:09	67/67	U-----	200	untouched ('OK')	text/plain	etag:%2243-531e161193d80%22	http://archiv.tdh-murgtal.de/robots.txt		(from )
23:36:09	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202019%2021:36:08%20GMT	http://archiv.tdh-murgtal.de/aktuelles/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/index.html	(from )
23:36:10	20765/20765	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:36:08%20GMT	http://archiv.tdh-murgtal.de/schnellueberblick/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/schnellueberblick/index.html	(from )
23:36:10	334/334	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:08%20GMT	http://www.tdh-murgtal.de/aktivitaeten/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktivitaeten/index.html	(from )
23:36:10	336/336	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:09%20GMT	http://www.tdh-murgtal.de/unterstuetzung/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/unterstuetzung/index.html	(from )
23:36:10	344/344	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:09%20GMT	http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:11	331/331	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:09%20GMT	http://www.tdh-murgtal.de/robots.txt		(from )
23:36:11	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:09%20GMT	http://www.tdh-murgtal.de/team/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/team/index.html	(from )
23:36:11	329/329	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:09%20GMT	http://www.tdh-murgtal.de/kontakt/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/kontakt/index.html	(from )
23:36:11	328/328	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:10%20GMT	http://www.tdh-murgtal.de/presse/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/presse/index.html	(from )
23:36:11	331/331	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:10%20GMT	http://www.tdh-murgtal.de/impressum/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/impressum/index.html	(from )
23:36:12	339/339	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:10%20GMT	http://www.tdh-murgtal.de/aktuelles/2018/10/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/2018/10/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/index.html)
23:36:12	5899/5899	U--M-Z	200	updated ('OK')	text/css	etag:%22170b-3bc2a2108b8c0-gzip%22	http://archiv.tdh-murgtal.de/_inc/formate.css	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/_inc/formate.css	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:12	22678/22678	U-----	200	untouched ('')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	http://www.google-analytics.com/urchin.js	W:/HTTrack/tdh-murgtal.de/www.google-analytics.com/urchin.js	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:12	7267/7267	U--M-Z	200	updated ('OK')	application/javascript	etag:%221c63-3d41afb456800-gzip%22	http://archiv.tdh-murgtal.de/_inc/javascripts.js	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/_inc/javascripts.js	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:12	3174/3174	U-----	200	untouched ('')	image/jpeg	etag:%22c66-39a247c5b7280%22	http://archiv.tdh-murgtal.de/images/depping/motiv6.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/depping/motiv6.jpg	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:13	2503/2503	U-----	200	untouched ('')	image/gif	etag:%229c7-3bbf4bae33a00%22	http://archiv.tdh-murgtal.de/images/tdh-schriftzug.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/tdh-schriftzug.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:13	6337/6337	U-----	200	untouched ('')	image/gif	etag:%2218c1-47d86982cb8c0%22	http://archiv.tdh-murgtal.de/images/onlinespende_klein.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/onlinespende_klein.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:13	43/43	U-----	200	untouched ('')	image/gif	etag:%222b-3693c95a98100%22	http://archiv.tdh-murgtal.de/images/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/pixel.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:13	331/331	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:12%20GMT	http://www.tdh-murgtal.de/aktuelles/	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktuelles/index.html	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:13	3460/3460	U-----	200	untouched ('')	image/gif	etag:%22d84-3f958c2192cc0%22	http://archiv.tdh-murgtal.de/images/hdl_schnellueberblick.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/hdl_schnellueberblick.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:14	15904/15904	U-----	200	untouched ('')	image/gif	etag:%223e20-4964c2149acc0%22	http://archiv.tdh-murgtal.de/images/sponsoren_banner.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/sponsoren_banner.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:14	15694/15694	U-----	200	untouched ('')	image/jpeg	etag:%223d4e-3f95981401c80%22	http://archiv.tdh-murgtal.de/schnellueberblick/img/kinder.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/schnellueberblick/img/kinder.jpg	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:14	19927/19927	U-----	200	untouched ('')	image/jpeg	etag:%224dd7-3f9598b8fe1c0%22	http://archiv.tdh-murgtal.de/schnellueberblick/img/basar.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/schnellueberblick/img/basar.jpg	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:14	24162/24162	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:36:13%20GMT	http://archiv.tdh-murgtal.de/unterstuetzung/hilfe/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/unterstuetzung/hilfe/index.html	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:14	366/366	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:13%20GMT	http://www.tdh-murgtal.de/aktivitaeten/2002/benefiz/img/benefiz02-5.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktivitaeten/2002/benefiz/img/benefiz02-5.jpg	(from http://archiv.tdh-murgtal.de/unterstuetzung/hilfe/index.html)
23:36:15	60751/60751	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:36:13%20GMT	http://archiv.tdh-murgtal.de/aktivitaeten/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/index.html	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:15	344/344	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:13%20GMT	http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.gif	(from http://archiv.tdh-murgtal.de/unterstuetzung/hilfe/index.html)
23:36:15	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2027%20Apr%202019%2021:36:13%20GMT	http://archiv.tdh-murgtal.de/kontakt/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/kontakt/index.html	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:15	363/363	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:14%20GMT	http://www.tdh-murgtal.de/aktivitaeten/2004/kinderfest/img/bild1.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktivitaeten/2004/kinderfest/img/bild1.jpg	(from http://archiv.tdh-murgtal.de/aktivitaeten/)
23:36:15	19086/19086	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:36:14%20GMT	http://archiv.tdh-murgtal.de/team/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/team/index.html	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:15	27200/27200	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:36:14%20GMT	http://archiv.tdh-murgtal.de/team/mitarbeiter/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/team/mitarbeiter/index.html	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:15	369/369	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:14%20GMT	http://www.tdh-murgtal.de/aktivitaeten/2004/kinderfest/img/bild1_klein.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/aktivitaeten/2004/kinderfest/img/bild1_klein.jpg	(from http://archiv.tdh-murgtal.de/aktivitaeten/)
23:36:15	20216/20216	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:36:14%20GMT	http://archiv.tdh-murgtal.de/unterstuetzung/	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/unterstuetzung/index.html	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:15	344/344	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:14%20GMT	http://www.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/images/erloese92-12.gif	(from http://archiv.tdh-murgtal.de/aktivitaeten/)
23:36:16	19796/19796	U-----	200	untouched ('')	image/gif	etag:%224d54-4ed946538b300%22	http://archiv.tdh-murgtal.de/images/erloese92-12.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/erloese92-12.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:16	2040/2040	U-----	200	untouched ('')	image/gif	etag:%227f8-4ed9468151f00%22	http://archiv.tdh-murgtal.de/images/erloese92-12_klein.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/erloese92-12_klein.gif	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:16	350/350	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:15%20GMT	http://www.tdh-murgtal.de/team/mitarbeiter/img/team.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/team/mitarbeiter/img/team.jpg	(from http://archiv.tdh-murgtal.de/team/mitarbeiter/)
23:36:16	5062/5062	U-----	200	untouched ('')	image/jpeg	etag:%2213c6-39a255bdfe800%22	http://archiv.tdh-murgtal.de/images/kind.jpg	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/images/kind.jpg	(from http://archiv.tdh-murgtal.de/schnellueberblick/)
23:36:16	356/356	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Apr%202019%2021:36:15%20GMT	http://www.tdh-murgtal.de/team/mitarbeiter/img/team_klein.jpg	W:/HTTrack/tdh-murgtal.de/www.tdh-murgtal.de/team/mitarbeiter/img/team_klein.jpg	(from http://archiv.tdh-murgtal.de/team/mitarbeiter/)
